"Variables ->","obs_dl_cpi","obs_i","obs_l_y","l_y_gap","l_y","l_y_tnd","dl_y_tnd","dl_y","dl_cpi","e1_dl_cpi","d4l_cpi","e1_d4l_cpi","e3_d4l_cpi","target","i","r","r_gap","r_tnd","shock_l_y_gap","shock_dl_cpi","shock_i","shock_dl_y_tnd","shock_r_tnd","shock_target","ss_r_tnd","ss_dl_y_tnd","ss_target","c1_dl_cpi","c2_dl_cpi","c1_l_y_gap","c2_l_y_gap","c1_i","c2_i","c3_i","c1_dl_y_tnd","c1_r_tnd","c1_target","ttrend","std_shock_l_y_gap","std_shock_dl_cpi","std_shock_i","std_shock_dl_y_tnd","std_shock_r_tnd","std_shock_target"
"Comments ->","Inflation observations","Interest rate observations","Real GDP observations","Output gap (percent)","Output","Output trend","Output trend growth (percent, @ar)","Output growth (percent, @ar)","QoQ inflation (percent, @ar)","Exp. QoQ inflation (percent, @ar)","YoY inflation (percent)","Exp. YoY inflation (percent)","Exp. t+3 YoY inflation (percent)","Inflation Target (percent)","Nominal interest rate (percent p.a.)","Real interest rate (percent p.a.)","Real interest rate gap (pp)","Real interest rate trend (pp)","Output gap shock","Inflation shock","MP shock","Potential output growth shock","Real interest rate trend shock","Inflation target","","","","","","","","","","","","","","Time trend","","","","","",""
"Class[Size] ->","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","Series[60-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]","double[1-by-1]"
"2012Q4",2.651005525370692,0.16,969.8922534031813,-0.01825293867516174,969.8922534031814,969.9105063418565,1.948749901964421,0.4391111583761163,2.651005525370692,2.71460771323471,1.885676669605344,2.002736632080998,2.747712356982908,2.621031263407791,0.1600000000000008,-1.842736632081059,-2.228404953458994,0.3856683213779443,-0.4565874823540003,0.5315373075084973,-0.8095642796078381,0.03702882469694247,0.007309634505798042,-0.01961453054084554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29,NaN,NaN,NaN,NaN,NaN,NaN
"2013Q1",1.60459623691213,0.143333,970.7562992997954,0.3459554167397446,970.7562992997954,970.4103438830556,1.999350164794686,3.456183586454966,1.60459623691213,1.739038916762857,1.725233763000345,1.949114328260467,1.801733094307868,2.566508730181062,0.143333,-1.805781328260528,-2.225000479410826,0.4192191511503078,0.1344071320040678,-0.7618165171198475,-0.0625691743623488,0.04547525302670633,0.02211766191015782,-0.04241940688594981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-28,NaN,NaN,NaN,NaN,NaN,NaN
"2013Q2",-0.4381806181481807,0.116667,970.8955874685364,-0.02551893567913956,970.8955874685363,970.9211064042153,2.043050084639085,0.5571526749642,-0.4381806181481804,-0.3166502963517046,1.404809444532701,0.8751927119457412,-0.2067563413905975,2.511299949331203,0.1166670000000018,-0.7585257119457997,-1.210047305143779,0.451521593197989,-0.3540969162370559,-1.367788674850109,1.647399092141201,0.04363493632386836,0.02422435716271198,-0.04855790783175171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27,NaN,NaN,NaN,NaN,NaN,NaN
"2013Q3",2.157544261084695,0.0833333,971.6841237441809,0.2408084901260793,971.684123744181,971.4433152540549,2.088835399356996,3.154145102578517,2.157544261084694,2.251558077999872,1.493741351304833,1.393879489462137,2.29695084293289,2.498347719589328,0.08333330000000067,-1.310546189462197,-1.777091212983688,0.4665450235214989,0.07841073023550071,1.630235486568395,-0.5751880809565332,0.05009032318181902,0.01017558964330878,-0.0118222348087544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26,NaN,NaN,NaN,NaN,NaN,NaN
"2013Q4",1.47634060639075,0.0866667,972.3927778506837,0.4178455471210635,972.3927778506838,971.9749323035626,2.126468198030859,2.834616426011451,1.476340606390749,1.619529035584899,1.200075121559848,1.203808321228047,1.684467350432976,2.470410003073735,0.08666669999999832,-1.11714162122811,-1.604430995001437,0.4872893737733355,0.1129173535455817,-0.5346828804811755,-0.03800443682918976,0.04651633860956253,0.01739885260398642,-0.02810294455665908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25,NaN,NaN,NaN,NaN,NaN,NaN
"2014Q1",2.483420554998702,0.0733333,972.0420537957549,-0.4719698017265463,972.0420537957554,972.5140235974812,2.156365175674946,-1.402896219714837,2.483420554998703,2.489692179276859,1.41978120108149,2.151749400437757,2.519340663656311,2.441291765920756,0.07333330000000206,-2.078416100437817,-2.585820606451403,0.5074045060135949,-0.9812591906440168,0.6996038782704159,-0.7853343334590894,0.04254379744717234,0.01884406961759291,-0.03207723684560556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24,NaN,NaN,NaN,NaN,NaN,NaN
"2014Q2",2.118694458709797,0.09333329999999999,973.3180076785339,0.2551830506253616,973.3180076785342,973.0628246279088,2.19520412170813,5.103815531116418,2.118694458709799,2.228691384504931,2.058999970295984,2.076786751151052,2.273834816889202,2.391511369971591,0.09333330000000017,-1.983453451151113,-2.52951413699342,0.5460606858423166,0.2854135179622582,-0.3010891916786732,-0.5994722812720775,0.05447546360067856,0.03939663043008119,-0.0556512193570893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23,NaN,NaN,NaN,NaN,NaN,NaN
"2014Q3",1.022029266141999,0.09,974.4762358890149,0.8588816619570604,974.4762358890148,973.6173542270578,2.218118396595759,4.632912841923206,1.022029266141998,1.227394338860162,1.77512122156031,1.712884654677671,1.304848403689403,2.325363399482836,0.09000000000000054,-1.622884654677733,-2.212891598027052,0.5900069433493287,0.4844826717794472,-0.8705983168161888,0.1626360190622284,0.04243468705844267,0.04855232609124355,-0.07699683349159513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22,NaN,NaN,NaN,NaN,NaN,NaN
"2014Q4",-0.9950114047924217,0.1,974.9242243231641,0.7502695039494681,974.9242243231641,974.1739548192146,2.226402368625973,1.791953736596248,-0.9950114047924159,-0.7709584039897499,1.15728321876452,0.3436884790174162,-0.6450558466401164,2.261562037054164,0.1000000000000027,-0.243688479017476,-0.8723583022458921,0.628669823228426,0.1477046765509496,-1.464521936783305,1.834475945563051,0.03009581168978964,0.04766357421403021,-0.08126502248038797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21,NaN,NaN,NaN,NaN,NaN,NaN
"2015Q1",-2.597540062080952,0.11,975.7342483786737,1.002931288263071,975.7342483786739,974.7313170904104,2.229449084782838,3.240096222037891,-2.597540062080949,-2.320919382735286,-0.1129569355053918,-1.222860395866655,-2.152907167693107,2.241973297483958,0.1100000000000043,1.332860395866591,0.6876893604101657,0.645171035456434,0.6215385219347127,-1.238753993834889,3.133661041588193,0.02568695301946228,0.02936819455085048,-0.0434325358647895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20,NaN,NaN,NaN,NaN,NaN,NaN
